date,cases,deaths
1579586400000,1,0
1579672800000,1,0
1579759200000,1,0
1579845600000,2,0
1579932000000,3,0
1580018400000,5,0
1580104800000,5,0
1580191200000,5,0
1580277600000,5,0
1580364000000,6,0
1580450400000,7,0
1580536800000,8,0
1580623200000,11,0
1580709600000,11,0
1580796000000,11,0
1580882400000,12,0
1580968800000,12,0
1581055200000,12,0
1581141600000,12,0
1581228000000,12,0
1581314400000,13,0
1581400800000,13,0
1581487200000,14,0
1581573600000,15,0
1581660000000,15,0
1581746400000,15,0
1581832800000,15,0
1581919200000,25,0
1582005600000,25,0
1582092000000,25,0
1582178400000,27,0
1582264800000,30,0
1582351200000,30,0
1582437600000,30,0
1582524000000,43,0
1582610400000,45,0
1582696800000,60,0
1582783200000,60,0
1582869600000,65,0
1582956000000,70,1
1583042400000,88,3
1583128800000,104,6
1583215200000,125,10
1583301600000,161,12
1583388000000,228,12
1583474400000,311,15
1583560800000,428,19
1583647200000,547,22
1583730000000,748,26
1583816400000,1018,31
1583902800000,1263,37
1583989200000,1668,43
1584075600000,2224,50
1584162000000,2898,60
1584248400000,3600,68
1584334800000,4507,91
1584421200000,5906,117
1584507600000,8350,162
1584594000000,12393,212
1584680400000,18012,277
1584766800000,24528,360
1584853200000,33073,458
1584939600000,43505,579
1585026000000,53938,785
1585112400000,68572,1054
1585198800000,85570,1353
1585285200000,102900,1770
1585371600000,123966,2300
1585458000000,142486,2718
1585544400000,163955,3368
1585630800000,188461,4304
1585717200000,215391,5325
1585803600000,245108,6541
1585890000000,277426,7932
1585976400000,312525,9488
1586062800000,338141,10856
1586149200000,369057,12382
1586235600000,399394,14616
1586322000000,431214,16701
1586408400000,465913,18821
1586494800000,499386,21084
1586581200000,531106,23168
1586667600000,558249,24849
1586754000000,584018,26613
1586840400000,610709,29318
1586926800000,640742,32070
1587013200000,672355,34419
1587099600000,703864,36708
1587186000000,732262,38659
1587272400000,757596,40179
1587358800000,784991,42016
1587445200000,810505,44688
1587531600000,839336,47059
1587618000000,873112,49228
1587704400000,909853,51360
1587790800000,944261,53327
1587877200000,970996,54580
1587963600000,994193,56022
1588050000000,1018844,58416
1588136400000,1045399,60930
1588222800000,1075756,63140
1588309200000,1109726,64902
1588395600000,1139200,66485
1588482000000,1165340,67816
1588568400000,1187302,68905
1588654800000,1211011,71139
1588741200000,1235515,73847
1588827600000,1263993,75805
1588914000000,1291641,77380
1589000400000,1316509,78834
1589086800000,1336826,79766
1589173200000,1354447,80748
1589259600000,1376747,82400
1589346000000,1397892,84168
1589432400000,1424853,85906
1589518800000,1451090,87499
1589605200000,1474748,88724
1589691600000,1493761,89568
1589778000000,1515585,90414
1589864400000,1536554,91934
1589950800000,1559620,93411
1590037200000,1585352,94722
1590123600000,1609147,96010
1590210000000,1631416,97059
1590296400000,1651447,97679
1590382800000,1670547,98189
1590469200000,1689440,98936
1590555600000,1708182,100421
1590642000000,1730692,101621
1590728400000,1755240,102811
1590814800000,1778637,103774
1590901200000,1799271,104378
1590987600000,1821167,105112
1591074000000,1841953,106194
1591160400000,1861939,107183
1591246800000,1883554,108191
1591333200000,1912261,109303
1591419600000,1934771,110031
1591506000000,1953386,110421
1591592400000,1971591,111143
1591678800000,1990396,112173
1591765200000,2013246,113102
1591851600000,2036447,113979
1591938000000,2061939,114758
1592024400000,2087273,115450
1592110800000,2106403,115767
1592197200000,2126520,116215
1592283600000,2151403,116984
1592370000000,2177056,117745
1592456400000,2205115,118472
1592542800000,2235950,119170
1592629200000,2267975,119716
1592715600000,2294354,119973
1592802000000,2324819,120333
1592888400000,2359878,121166
1592974800000,2396858,121933
1593061200000,2438031,124399
1593147600000,2483559,125032
1593234000000,2525858,125543
1593320400000,2565364,125814
1593406800000,2604858,126161
1593493200000,2653243,127461
1593579600000,2703218,128103
1593666000000,2758775,128826
1593752400000,2815928,129417
1593838800000,2865933,129678
1593925200000,2910696,129940
1594011600000,2958011,130331
1594098000000,3012084,131289
1594184400000,3071536,132237
1594270800000,3131422,133078
1594357200000,3199646,133906
1594443600000,3260362,134581
1594530000000,3318167,134976
1594616400000,3379734,135401
1594702800000,3445331,136355
1594789200000,3513667,137326
1594875600000,3589349,138284
1594962000000,3660271,139185
1595048400000,3722719,139960
1595134800000,3784994,140372
1595221200000,3844882,140903
1595307600000,3910148,142030
1595394000000,3979885,143166
1595480400000,4049889,144282
1595566800000,4123413,145429
1595653200000,4190189,146312
1595739600000,4244406,146752
1595826000000,4303587,148448
1595912400000,4366697,149775
1595998800000,4433312,151170
1596085200000,4502423,152431
1596171600000,4571482,153860
1596258000000,4628303,154915
1596344400000,4679096,155335
1596430800000,4726579,155943
1596517200000,4780116,157299
1596603600000,4833837,158551
1596690000000,4891532,159626
1596776400000,4952682,160982
1596862800000,5007922,161948
1596949200000,5056410,162487
1597035600000,5103575,163024
1597122000000,5156920,164475
1597208400000,5211203,165953
1597294800000,5265260,167166
1597381200000,5324737,168342
1597467600000,5375486,169401
1597554000000,5417629,169915
1597640400000,5455136,170450
1597726800000,5498362,171799
1597813200000,5541376,173094
1597899600000,5587401,174137
1597986000000,5636428,175298
1598072400000,5681459,176248
1598158800000,5713799,176694
1598245200000,5754178,177198
1598331600000,5793346,178411
1598418000000,5838125,179604
1598504400000,5883729,180730
1598590800000,5930285,181740
1598677200000,5974924,182611
1598763600000,6008376,182985
1598850000000,6044815,183473
1598936400000,6088842,184564
1599022800000,6121842,185640
1599109200000,6167443,186718
1599195600000,6218913,187698
1599282000000,6260993,188409
1599368400000,6292054,188815
1599454800000,6317221,189076
